token_str,uniq_users,count,first_day,last_day,time_delta
"Donald, Trump, was, just, mentioned, during, Erin, Burnett, OutFront, on, CNNHD, read, more",1,1574,2015-10-15 01:18:02.734,2016-02-13 23:56:52.272,121 days 22:38:49.538000000
"Dear, #MicroAggression, jump, on, the, #TrumpTrain",2,1362,2016-04-20 00:16:26.717,2016-05-23 23:32:46.335,33 days 23:16:19.618000000
"#RealDonaldTrump, will, save, us",2,807,2015-12-18 00:06:25.095,2016-02-22 22:46:57.115,66 days 22:40:32.020000000
"Donald, Trump, was, just, mentioned, on, FNCHD, #donaldtrump, #trump2016, read, more",1,624,2016-04-24 01:01:21.915,2016-04-30 22:46:17.575,6 days 21:44:55.660000000
"Donald, Trump, was, just, mentioned, on, MSNBC, #donaldtrump, #trump2016, read, more",1,520,2016-04-24 14:01:01.746,2016-04-30 18:56:38.733,6 days 04:55:36.987000000
"Donald, Trump, was, just, mentioned, on, CNNHD, #donaldtrump, #trump2016, read, more",1,484,2016-04-24 06:16:35.531,2016-04-30 23:55:19.504,6 days 17:38:43.973000000
"Donald, Trump, was, just, mentioned, during, The, O'Reilly, Factor, on, FNCHD, read, more",1,176,2015-11-19 09:16:28.266,2016-03-26 03:57:30.584,127 days 18:41:02.318000000
"Check, out, Donald, Trump, Your, President, #Trump2016, #TrumpTrain, by, Rick, Poppe",50,146,2016-06-24 00:00:24.979,2016-10-03 23:59:09.612,101 days 23:58:44.633000000
"Donald, Trump, was, just, mentioned, during, America's, News, Headquarters, on, FNCHD, read, more",1,142,2015-12-12 18:11:15.906,2016-03-27 20:54:51.796,106 days 02:43:35.890000000
"What, can, we, do, to, make, America",1,123,2016-06-24 00:03:28.980,2016-06-25 22:08:09.525,1 days 22:04:40.545000000
"Donald, Trump, was, just, mentioned, during, The, Rachel, Maddow, Show, on, MSNBC, read, more",1,116,2015-11-19 02:43:29.728,2016-03-26 10:38:13.028,128 days 07:54:43.300000000
"Donald, Trump, was, just, mentioned, during, Caught, on, Camera, on, MSNBC, read, more",1,105,2015-11-15 20:25:56.157,2016-03-27 20:48:29.378,133 days 00:22:33.221000000
"Donald, Trump, was, just, mentioned, during, Morning, Joe, on, MSNBC, read, more",1,104,2015-11-19 11:40:31.405,2016-01-01 12:01:23.258,43 days 00:20:51.853000000
"Donald, Trump, was, just, mentioned, during, Hannity, on, FNCHD, read, more",1,103,2015-12-10 03:09:37.430,2016-02-13 10:56:47.475,65 days 07:47:10.045000000
"#Clinton, Hillary, Clinton, releases, Web, ad, slamming, Donald, Trump, over, taxes",1,103,2016-05-15 00:06:25.619,2016-05-15 19:21:44.713,0 days 19:15:19.094000000
"Donald, Trump, was, just, mentioned, during, Weekends, With, Alex, Witt, on, MSNBC, read, more",1,102,2015-12-12 12:01:12.750,2016-03-27 16:58:32.998,106 days 04:57:20.248000000
"Donald, Trump, was, just, mentioned, during, All, In, With, Chris, Hayes, on, MSNBC, read, more",1,99,2015-11-19 01:10:53.584,2016-03-26 00:42:55.800,127 days 23:32:02.216000000
"Have, you, heard, Donald, Trump, Your, President, by, rickpoppe, on, #SoundCloud, #TrumpTrain, #Trump2016",50,99,2016-06-24 16:50:55.963,2016-10-03 23:01:47.335,101 days 06:10:51.372000000
"Donald, Trump, was, just, mentioned, on, WABC, #donaldtrump, #trump2016, read, more",1,98,2016-04-24 10:13:58.794,2016-04-30 22:58:16.032,6 days 12:44:17.238000000
"Donald, Trump, was, just, mentioned, during, Paid, Programming, on, CNBCHD, read, more",1,94,2016-03-26 12:33:36.816,2016-03-27 21:34:26.345,1 days 09:00:49.529000000
"Donald, Trump, was, just, mentioned, during, FOX, Friends, Saturday, on, FNCHD, read, more",1,92,2015-12-12 11:00:29.294,2016-03-26 13:17:33.560,105 days 02:17:04.266000000
"#Clinton, Hillary, Clinton, Why, Employers, Should, Give, Ex-Offenders, A, Second, Chance",1,92,2016-05-21 01:11:16.464,2016-05-21 23:56:46.109,0 days 22:45:29.645000000
"Check, out, Donald, Trump, Your, President, by, Rick, Poppe, #Trump2016, #TrumpTrain, …",48,88,2016-06-24 05:05:43.961,2016-09-30 11:09:59.432,98 days 06:04:15.471000000
"Donald, Trump, was, just, mentioned, during, Hardball, With, Chris, Matthews, on, MSNBC, read, more",1,85,2015-11-19 00:45:56.372,2015-12-18 07:45:09.580,29 days 06:59:13.208000000
"Donald, Trump, was, just, mentioned, during, The, Kelly, File, on, FNCHD, read, more",1,85,2015-12-10 02:24:54.898,2016-03-26 04:54:03.094,107 days 02:29:08.196000000
"Donald, Trump, Rally, in, Tampa, FL, at, USF, #TeamTrump, #Florida, #SouthCarolinaPrimary, #students, #WOMENFORTRUMP",1,82,2016-02-13 00:00:28.199,2016-02-13 02:55:02.019,0 days 02:54:33.820000000
"#Clinton, Gary, Johnson, set, to, take, on, Donald, Trump, Hillary, Clinton, in, November",1,81,2016-05-30 01:23:32.969,2016-05-30 23:48:16.452,0 days 22:24:43.483000000
"Donald, Trump, was, just, mentioned, during, CNN, Newsroom, Live, on, #donaldtrump, #trump2016, read, more",1,81,2016-04-24 08:22:44.963,2016-04-30 09:45:38.233,6 days 01:22:53.270000000
"Donald, Trump, was, just, mentioned, during, FOX, Friends, on, FN, #donaldtrump, #trump2016, read, more",1,76,2016-04-26 10:00:06.758,2016-04-30 09:43:21.361,3 days 23:43:14.603000000
"Donald, Trump, was, just, mentioned, during, Today, on, WNBC, read, more",1,75,2015-10-15 11:05:20.541,2016-03-27 13:07:33.239,164 days 02:02:12.698000000
"#Clinton, Hillary, Clinton, calls, Donald, Trump's, gun, policies, dangerous",1,72,2016-05-23 00:27:10.949,2016-05-23 13:27:23.864,0 days 13:00:12.915000000
"Donald, Trump, was, just, mentioned, during, The, Place, for, Politics, 2016, on, MSNBC, read, more",1,72,2016-03-26 13:22:30.837,2016-03-27 17:54:06.655,1 days 04:31:35.818000000
